built_in_rank,feature,built_in_importance,permutation_rank,permutation_importance_mean,permutation_importance_std,rank_difference,built_in_importance_normalized,permutation_importance_normalized,comparison_status
1,absences,0.19004950000915816,2,0.40583391074241815,0.1403031676075208,1,1.0,0.606627296080426,Strong agreement
2,failures,0.14604079854470509,1,0.6690004115617856,0.1792763431661844,1,0.7684355840855547,1.0,Strong agreement
3,health,0.05201495769282214,39,-0.04782346996361921,0.046374947697099704,36,0.27369163133981217,0.0,Strong disagreement
4,goout,0.049667628883472016,3,0.16584151853187462,0.062824996338976,1,0.2613404869840679,0.24789449403284608,Strong agreement
5,age,0.041201309898728763,7,0.06031696339005958,0.02667475032815376,2,0.2167925193001999,0.09015983002050665,Strong agreement
6,studytime,0.033220358434549034,14,0.020860533830033744,0.02983896309171293,8,0.17479845215561315,0.031181645735216663,Strong disagreement
7,traveltime,0.0329555638845266,12,0.02286716059670124,0.03606380936889145,5,0.1734051596186179,0.03418108599263447,Moderate disagreement
8,freetime,0.03295413170652493,21,0.008277070669372267,0.022672480849913475,13,0.17339762380294044,0.012372295332448892,Strong disagreement
9,Fedu,0.02844640408271767,34,-0.012386702441560305,0.021383940288887144,25,0.14967892091979662,0.0,Strong disagreement
10,Walc,0.028115091310984802,16,0.014926756755856242,0.013954043656278167,6,0.1479356236645189,0.022312029257216204,Strong disagreement
11,Medu,0.027630425035395836,6,0.0866280042326221,0.04281606168758182,5,0.145385412926971,0.1294887159043572,Moderate disagreement
12,famrel,0.02695057304424953,11,0.023267282377974662,0.0219781870829664,1,0.1418081765169118,0.034779174983849484,Strong agreement
13,schoolsup_yes,0.026140821927101526,5,0.10065088392625374,0.03578093288316944,8,0.13754743856648843,0.15044965920317394,Strong disagreement
14,romantic_yes,0.021934299788281666,20,0.010353069396207549,0.04755750073797401,6,0.11541361480679871,0.015475430533799291,Strong disagreement
15,higher_yes,0.019837075525624453,22,0.007380574696775844,0.06159977273092672,7,0.10437846731861193,0.011032242386138218,Strong disagreement
16,Mjob_services,0.018086857770806323,38,-0.03741363487114939,0.009037448589003749,22,0.09516919418327724,0.0,Strong disagreement
17,guardian_other,0.01672568978783191,8,0.046974306195698645,0.038003050732302965,9,0.08800701810331481,0.07021566113246006,Strong disagreement
18,sex_M,0.016153288930758545,4,0.14293510518326183,0.052422232483847336,14,0.08499516668015515,0.2136547343066336,Strong disagreement
19,famsup_yes,0.013195335524553372,13,0.021233373765567533,0.0219222571374288,6,0.06943104572186463,0.03173895471304433,Strong disagreement
20,activities_yes,0.013109613639813193,17,0.012078772808073613,0.022879722647608323,3,0.0689799954179383,0.018054955720992225,Moderate disagreement
21,internet_yes,0.013054356490758985,31,-0.004354926702071271,0.020113920245689167,10,0.06868924406604553,0.0,Strong disagreement
22,Dalc,0.01201791307727689,33,-0.011254724002854165,0.0174682735514234,11,0.06323569952405961,0.0,Strong disagreement
23,reason_home,0.011345930793884447,37,-0.022315463454343386,0.02503044069740568,14,0.0596998718404295,0.0,Strong disagreement
24,Fjob_teacher,0.01121207857374864,9,0.03704568469521656,0.014899235349310603,15,0.0589955699605016,0.055374681472516854,Strong disagreement
25,famsize_LE3,0.010976183102604616,19,0.010583146540791288,0.012362946501218823,6,0.05775433822280876,0.015819342347017196,Strong disagreement
26,paid_yes,0.010962401210623798,35,-0.012498150363478011,0.013569796175876383,9,0.057681820841915074,0.0,Strong disagreement
27,Pstatus_T,0.010319999255519142,27,-0.0003321494382791723,0.017118445394030787,0,0.05430163854691456,0.0,Strong agreement
28,reason_reputation,0.010064541987714332,18,0.011198319575274108,0.012546025644768685,10,0.052957476800672136,0.01673888293899784,Strong disagreement
29,school_MS,0.008675361974499552,23,0.007063923731554978,0.008131255734085283,6,0.045647907382453,0.010558922848887648,Strong disagreement
30,nursery_yes,0.008618923744306796,24,0.00624441489183849,0.011001012847688497,6,0.04535094143310803,0.00933394775835917,Strong disagreement
31,Mjob_other,0.008307000505972105,30,-0.0023098264411739234,0.007095506467471205,1,0.0437096677737737,0.0,Strong agreement
32,guardian_mother,0.007923188334127248,15,0.020135297563274746,0.007446397535993676,17,0.04169012985430345,0.03009758621264338,Strong disagreement
33,Fjob_other,0.0078174599064097,36,-0.013509326134479948,0.004816169097270154,3,0.041133809381413734,0.0,Moderate disagreement
34,address_U,0.007800626640551007,25,0.0038072576775794787,0.0062690308090682205,9,0.041045236320932744,0.005690964626899724,Strong disagreement
35,Mjob_health,0.007762633413114568,10,0.034383205376226966,0.019421640066079476,25,0.040845324048421595,0.05139489420635656,Strong disagreement
36,Fjob_services,0.00701761930380852,28,-0.0006352864937388958,0.010148221737744385,8,0.036925218448195615,0.0,Strong disagreement
37,reason_other,0.005518437850613466,29,-0.0020673994069176694,0.0028532542176755507,8,0.02903684487645346,0.0,Strong disagreement
38,Mjob_teacher,0.004463975338302653,32,-0.005241015401504479,0.0075112414422408074,6,0.023488487673408987,0.0,Strong disagreement
39,Fjob_health,0.0017116430735580656,26,0.00026730218212325243,0.002124193405188724,13,0.009006301376618115,0.000399554585473623,Strong disagreement
