permutation_rank,feature,permutation_importance_mean,permutation_importance_std
1,failures,0.6690004115617856,0.1792763431661844
2,absences,0.40583391074241815,0.1403031676075208
3,goout,0.16584151853187462,0.062824996338976
4,sex_M,0.14293510518326183,0.052422232483847336
5,schoolsup_yes,0.10065088392625374,0.03578093288316944
6,Medu,0.0866280042326221,0.04281606168758182
7,age,0.06031696339005958,0.02667475032815376
8,guardian_other,0.046974306195698645,0.038003050732302965
9,Fjob_teacher,0.03704568469521656,0.014899235349310603
10,Mjob_health,0.034383205376226966,0.019421640066079476
